Parameter	Type
Event_Probability	float
Event_Importance	float
Event_Type	string
KB_ArchivDate	string
KB_ArchivID	string
KB_Archivist	string
KB_ArchivURL	string
Event_CoordSys	string
Event_CoordUnit	string
Event_EndTime	string
Event_StartTime	string
Event_Expires	string
Event_Coord1	float
Event_Coord2	float
Event_Coord3	float
Event_MapURL	string
Event_MaskURL	string
Event_PeakTime	string
Event_C1Error	float
Event_C2Error	float
Event_ClippedSpatial	string
Event_ClippedTemporal	string
Event_TestFlag	string
Event_Description	string
FRM_Contact	string
FRM_DateRun	string
FRM_HumanFlag	string
FRM_Identifier	string
FRM_Institute	string
FRM_Name	string
FRM_ParamSet	string
FRM_VersionNumber	float
FRM_URL	string
FRM_SpecificID	string
OBS_Observatory	string
OBS_ChannelID	string
OBS_Instrument	string
OBS_MeanWavel	float
OBS_WavelUnit	string
OBS_Title	string
Bound_CCNsteps	long
Bound_CCStartC1	float
Bound_CCStartC2	float
Bound_ChainCode	string
BoundBox_C1LL	float
BoundBox_C2LL	float
BoundBox_C1UR	float
BoundBox_C2UR	float
ChainCodeType	string
RasterScan	string
RasterScanType	string
Skel_ChainCode	string
Skel_Curvature	float
Skel_Nsteps	integer
Skel_StartC1	float
Skel_StartC2	float
AR_McIntoshCls	string
AR_MtWilsonCls	string
AR_ZurichCls	string
AR_PenumbraCls	string
AR_CompactnessCls	string
AR_NOAAclass	string
AR_NOAANum	long
AR_NumSpots	integer
AR_Polarity	integer
AR_SpotAreaRaw	float
AR_SpotAreaRawUncert	float
AR_SpotAreaRawUnit	string
AR_SpotAreaRepr	float
AR_SpotAreaReprUncert	float
AR_SpotAreaReprUnit	string
SHARP_NOAA_ARS	string
IntensMin	float
IntensMax	float
IntensMean	float
IntensMedian	float
IntensVar	float
IntensSkew	float
IntensKurt	float
IntensTotal	float
IntensUnit	string
FL_GOESCls	string
CME_RadialLinVel	float
CME_RadialLinVelUncert	float
CME_RadialLinVelMin	float
CME_RadialLinVelMax	float
CME_RadialLinVelStddev	float
CME_RadialLinVelUnit	string
CME_AngularWidth	float
CME_AngularWidthUnit	string
CME_Accel	float
CME_AccelUncert	float
CME_AccelUnit	string
CME_Mass	float
CME_MassUncert	float
CME_MassUnit	string
Area_AtDiskCenter	float
Area_AtDiskCenterUncert	float
Area_Raw	float
Area_Uncert	float
Area_Unit	string
Event_Npixels	long
Event_PixelUnit	string
FreqMaxRange	float
FreqMinRange	float
FreqPeakPower	float
FreqUnit	string
IntensMaxAmpl	float
IntensMinAmpl	float
OscillNPeriods	float
OscillNPeriodsUncert	float
PeakPower	float
PeakPowerUnit	string
VelocMaxAmpl	float
VelocMaxPower	float
VelocMaxPowerUncert	float
VelocMinAmpl	float
VelocUnit	string
WaveDisplMaxAmpl	float
WaveDisplMinAmpl	float
WaveDisplUnit	string
WavelMaxPower	float
WavelMaxPowerUncert	float
WavelMaxRange	float
WavelMinRange	float
WavelUnit	string
EF_PosPeakFluxOnsetRate	float
EF_NegPeakFluxOnsetRate	float
