parameter	type
event_probability	float
event_importance	float
event_type	string
kb_archivdate	string
kb_archivid	string
kb_archivist	string
kb_archivurl	string
event_coordsys	string
event_coordunit	string
event_endtime	timestamp
event_starttime	timestamp
event_expires	string
event_coord1	float
event_coord2	float
event_coord3	float
event_mapurl	string
event_maskurl	string
event_peaktime	string
event_c1error	float
event_c2error	float
event_clippedspatial	string
event_clippedtemporal	string
event_testflag	string
event_description	string
frm_contact	string
frm_daterun	string
frm_humanflag	string
frm_identifier	string
frm_institute	string
frm_name	string
frm_paramset	string
frm_versionnumber	float
frm_url	string
frm_specificid	string
obs_observatory	string
obs_channelid	string
obs_instrument	string
obs_meanwavel	float
obs_wavelunit	string
obs_title	string
bound_ccnsteps	long
bound_ccstartc1	float
bound_ccstartc2	float
bound_chaincode	polygon
boundbox_c1ll	float
boundbox_c2ll	float
boundbox_c1ur	float
boundbox_c2ur	float
chaincodetype	string
rasterscan	string
rasterscantype	string
skel_chaincode	string
skel_curvature	float
skel_nsteps	integer
skel_startc1	float
skel_startc2	float
ar_mcintoshcls	string
ar_mtwilsoncls	string
ar_zurichcls	string
ar_penumbracls	string
ar_compactnesscls	string
ar_noaaclass	string
ar_noaanum	long
ar_numspots	integer
ar_polarity	integer
ar_spotarearaw	float
ar_spotarearawuncert	float
ar_spotarearawunit	string
ar_spotarearepr	float
ar_spotarearepruncert	float
ar_spotareareprunit	string
sharp_noaa_ars	string
intensmin	float
intensmax	float
intensmean	float
intensmedian	float
intensvar	float
intensskew	float
intenskurt	float
intenstotal	float
intensunit	string
fl_goescls	string
cme_radiallinvel	float
cme_radiallinveluncert	float
cme_radiallinvelmin	float
cme_radiallinvelmax	float
cme_radiallinvelstddev	float
cme_radiallinvelunit	string
cme_angularwidth	float
cme_angularwidthunit	string
cme_accel	float
cme_acceluncert	float
cme_accelunit	string
cme_mass	float
cme_massuncert	float
cme_massunit	string
area_atdiskcenter	float
area_atdiskcenteruncert	float
area_raw	float
area_uncert	float
area_unit	string
event_npixels	long
event_pixelunit	string
freqmaxrange	float
freqminrange	float
freqpeakpower	float
frequnit	string
intensmaxampl	float
intensminampl	float
oscillnperiods	float
oscillnperiodsuncert	float
peakpower	float
peakpowerunit	string
velocmaxampl	float
velocmaxpower	float
velocmaxpoweruncert	float
velocminampl	float
velocunit	string
wavedisplmaxampl	float
wavedisplminampl	float
wavedisplunit	string
wavelmaxpower	float
wavelmaxpoweruncert	float
wavelmaxrange	float
wavelminrange	float
wavelunit	string
ef_pospeakfluxonsetrate	float
ef_negpeakfluxonsetrate	float
ef_onsetrateunit	string
ef_sumpossignedflux	float
ef_sumnegsignedflux	float
ef_fluxunit	string
ef_axisorientation	float
ef_axisorientationunit	string
ef_axislength	float
ef_posequivradius	float
ef_negequivradius	float
ef_lengthunit	string
ef_aspectratio	float
ef_proximityratio	float
maxmagfieldstrength	float
maxmagfieldstrengthunit	string
outflow_length	float
outflow_lengthunit	string
outflow_width	float
outflow_widthunit	string
outflow_speed	float
outflow_transspeed	float
outflow_speedunit	string
outflow_openingangle	float
obs_dataprepurl	string
fl_peakflux	float
fl_peakfluxunit	string
fl_peaktemp	float
fl_peaktempunit	string
fl_peakem	float
fl_peakemunit	string
fl_efoldtime	float
fl_efoldtimeunit	string
fl_fluence	float
fl_fluenceunit	string
fl_halphaclass	string
cd_area	float
cd_areauncert	float
cd_areaunit	string
cd_volume	float
cd_volumeuncert	float
cd_volumeunit	string
cd_mass	float
cd_massuncert	float
cd_massunit	string
fi_length	float
fi_lengthunit	string
fi_tilt	float
fi_barbstot	integer
fi_barbsr	integer
fi_barbsl	integer
fi_chirality	integer
fi_barbsstartc1	string
fi_barbsstartc2	string
fi_barbsendc1	string
fi_barbsendc2	string
sg_shape	string
sg_chirality	integer
sg_orientation	float
sg_aspectratio	float
sg_peakcontrast	float
sg_meancontrast	float
obs_firstprocessingdate	string
obs_lastprocessingdate	string
obs_levelnum	float
obs_includesnrt	string
ss_spinrate	float
ss_spinrateunit	string
cc_majoraxis	float
cc_minoraxis	float
cc_axisunit	string
cc_tiltanglemajorfromradial	float
cc_tiltangleunit	string
to_shape	string
unsignedflux	float
magfluxunit	string
meaninclinationgamma	float
meangradienttotal	float
meangradientvert	float
meangradienthorz	float
gradientunit	string
meanvertcurrentdensity	float
currentdensityunit	string
unsignedvertcurrent	float
currentunit	string
meantwistalpha	float
twistunit	string
meancurrenthelicity	float
unsignedcurrenthelicity	float
absnetcurrenthelicity	float
currenthelicityunit	string
savncpp	float
meanphotoenergydensity	float
meanenergydensityunit	string
totalphotoenergydensity	float
totalenergydensityunit	string
totalphotoenergy	float
totalphotoenergyunit	string
meanshearangle	float
highshearareapercent	float
highsheararea	float
highshearareaunit	string
log_r_value	float
gwill	float
gwillunit	string
ar_axislength	float
ar_lengthunit	string
ar_sumpossignedflux	float
ar_sumnegsignedflux	float
ar_neutrallength	float
ar_pilcurvature	float
concept	string
refs	string
hcr_checked	string
hgc_bbox	polygon
hgc_boundcc	polygon
hgc_coord	point
hgc_skeletoncc	polygon
hgc_x	float
hgc_y	float
hgs_bbox	polygon
hgs_boundcc	polygon
hgs_coord	point
hgs_skeletoncc	polygon
hgs_x	float
hgs_y	float
hpc_bbox	polygon
hpc_boundcc	polygon
hpc_coord	point
hpc_geom	string
hpc_skeletoncc	polygon
hpc_x	float
hpc_y	float
hrc_a	float
hrc_bbox	polygon
hrc_boundcc	polygon
hrc_coord	point
hrc_r	float
hrc_skeletoncc	polygon
