parameter	type	ar	ce	cd	ch	cw	fi	fe	fa	fl	lp	os	ss	ef	cj	pg	ot	nr	sg	sp	cr	cc	er	to	hy	description of attribute
absnetcurrenthelicity	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	absolute value of the net current helicity
ar_axislength	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	axis length (bipole separation distance)
ar_lengthunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units for ar_axislength and ar_neutrallength
ar_neutrallength	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	the total length of polarity separation line segments within the ar
ar_pilcurvature	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	dimensionless curvature of main pil (pil length / direct distance between endpoints)
ar_spotarearaw	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	area of spots in active region in plane of sky
ar_spotarearawuncert	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty of ar_spotarearaw
ar_spotarearawunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units of ar_spotarearaw
ar_spotarearepr	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	reprojected area of spots in heliographic units
ar_spotarearepruncert	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	uncertainty reprojected area of spots in heliographic units
ar_spotareareprunit	string	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	units of ar_spotareareprunit (e.g. 'millihemispheres' or 'steradians')
ar_sumnegsignedflux	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	total negative signed flux (negative number)
ar_sumpossignedflux	float	opt	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	---	total positive signed flux
area_atdiskcenter	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	area of event at disk center
area_atdiskcenteruncert	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	uncertainty of area at disk center
area_raw	float	opt	opt	opt	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	opt	opt	opt	opt	opt	opt	---	area of event in sky plane
